surface,method,noise,success,total,rate_percent,median_progress
HIP,CS²-GAD,0.1,202,287,70.38327526132404,15.0
HIP,CS²-GAD,0.15,157,287,54.70383275261324,21.0
HIP,CS²-GAD,0.2,111,287,38.67595818815331,27.0
HIP,Hybrid damped,0.01,245,287,85.36585365853658,6.0
HIP,Hybrid damped,0.03,244,287,85.01742160278745,12.0
HIP,Hybrid damped,0.05,234,287,81.53310104529616,19.0
HIP,Hybrid damped,0.1,192,287,66.89895470383276,36.5
HIP,Hybrid damped,0.15,146,287,50.87108013937282,61.0
HIP,Hybrid damped,0.2,95,287,33.10104529616725,95.0
HIP,Hybrid undamped,0.01,243,287,84.66898954703832,6.0
HIP,Hybrid undamped,0.03,242,287,84.3205574912892,14.0
HIP,Hybrid undamped,0.05,234,287,81.53310104529616,21.0
HIP,Hybrid undamped,0.1,188,287,65.50522648083624,39.5
HIP,Hybrid undamped,0.15,143,287,49.825783972125436,65.0
HIP,Hybrid undamped,0.2,89,287,31.010452961672474,95.0
HIP,Plain GAD dt=.003,0.01,256,287,89.19860627177701,165.5
HIP,Plain GAD dt=.003,0.03,254,287,88.50174216027875,337.5
HIP,Plain GAD dt=.003,0.05,245,287,85.36585365853658,458.0
HIP,Plain GAD dt=.003,0.1,204,287,71.0801393728223,757.5
HIP,Plain GAD dt=.003,0.15,158,287,55.05226480836237,993.0
HIP,Plain GAD dt=.003,0.2,117,287,40.76655052264808,1196.0
HIP,Plain GAD dt=.005,0.01,256,287,89.19860627177701,99.5
HIP,Plain GAD dt=.005,0.03,254,287,88.50174216027875,203.5
HIP,Plain GAD dt=.005,0.05,246,287,85.71428571428571,278.0
HIP,Plain GAD dt=.005,0.1,206,287,71.77700348432056,458.0
HIP,Plain GAD dt=.005,0.15,164,287,57.142857142857146,613.5
HIP,Plain GAD dt=.005,0.2,124,287,43.20557491289198,738.0
HIP,Plain GAD dt=.007,0.01,256,287,89.19860627177701,73.0
HIP,Plain GAD dt=.007,0.03,255,287,88.85017421602788,145.0
HIP,Plain GAD dt=.007,0.05,246,287,85.71428571428571,200.0
HIP,Plain GAD dt=.007,0.1,209,287,72.82229965156795,332.0
HIP,Plain GAD dt=.007,0.15,167,287,58.18815331010453,437.0
HIP,Plain GAD dt=.007,0.2,128,287,44.599303135888505,546.0
HIP,Sella + Eckart d=1,0.01,266,287,92.6829268292683,4.0
HIP,Sella + Eckart d=1,0.03,264,287,91.98606271777004,6.0
HIP,Sella + Eckart d=1,0.05,253,287,88.15331010452962,7.0
HIP,Sella + Eckart d=1,0.1,203,287,70.73170731707317,9.0
HIP,Sella + Eckart d=1,0.15,155,287,54.00696864111498,11.0
HIP,Sella + Eckart d=1,0.2,78,287,27.177700348432055,13.0
HIP,Sella + Eckart d=3,0.01,277,287,96.51567944250871,5.0
HIP,Sella + Eckart d=3,0.03,274,287,95.47038327526133,8.0
HIP,Sella + Eckart d=3,0.05,264,287,91.98606271777004,9.0
HIP,Sella + Eckart d=3,0.1,209,287,72.82229965156795,11.0
HIP,Sella + Eckart d=3,0.15,145,287,50.52264808362369,14.0
HIP,Sella + Eckart d=3,0.2,67,287,23.34494773519164,
HIP,Sella Cartesian,0.01,264,287,91.98606271777004,4.0
HIP,Sella Cartesian,0.03,262,287,91.28919860627178,6.0
HIP,Sella Cartesian,0.05,251,287,87.45644599303135,7.0
HIP,Sella Cartesian,0.1,188,287,65.50522648083624,10.5
HIP,Sella Cartesian,0.15,123,287,42.857142857142854,16.0
HIP,Sella Cartesian,0.2,54,287,18.81533101045296,20.0
HIP,Sella internal,0.01,227,287,79.09407665505226,4.0
HIP,Sella internal,0.03,222,287,77.35191637630662,6.0
HIP,Sella internal,0.05,206,287,71.77700348432056,9.0
HIP,Sella internal,0.1,146,287,50.87108013937282,17.0
HIP,Sella internal,0.15,77,287,26.829268292682926,
HIP,Sella internal,0.2,40,287,13.937282229965156,
LJ13–75,CS²-GAD,0.1,205,224,91.51785714285714,28.0
LJ13–75,CS²-GAD,0.2,194,224,86.60714285714286,44.5
LJ13–75,CS²-GAD,0.3,181,224,80.80357142857143,63.0
LJ13–75,CS²-GAD,0.4,176,224,78.57142857142857,79.0
LJ13–75,Intrinsic λ2,0.1,190,224,84.82142857142857,21.0
LJ13–75,Intrinsic λ2,0.2,205,224,91.51785714285714,29.0
LJ13–75,Intrinsic λ2,0.3,157,224,70.08928571428571,35.0
LJ13–75,Intrinsic λ2,0.4,159,224,70.98214285714286,41.0
LJ13–75,Sella,0.1,216,224,96.42857142857143,18.0
LJ13–75,Sella,0.2,206,224,91.96428571428571,24.0
LJ13–75,Sella,0.3,206,224,91.96428571428571,35.0
LJ13–75,Sella,0.4,201,224,89.73214285714286,39.0
LJ7,Hard gate,0.1,96,96,100.0,151.5
LJ7,Hard gate,0.2,96,96,100.0,230.0
LJ7,Hard gate,0.4,91,96,94.79166666666667,474.0
LJ7,Intrinsic λ2,0.1,96,96,100.0,11.0
LJ7,Intrinsic λ2,0.2,96,96,100.0,17.0
LJ7,Intrinsic λ2,0.4,96,96,100.0,29.0
LJ7,Ordinary GAD,0.1,64,96,66.66666666666667,213.0
LJ7,Ordinary GAD,0.2,34,96,35.416666666666664,761.5
LJ7,Ordinary GAD,0.4,17,96,17.708333333333332,1270.0
LJ7,Sella,0.1,80,96,83.33333333333333,10.0
LJ7,Sella,0.2,58,96,60.416666666666664,15.0
LJ7,Sella,0.4,31,96,32.291666666666664,35.0
LJ7,Smooth λ2,0.1,96,96,100.0,151.5
LJ7,Smooth λ2,0.2,96,96,100.0,230.0
LJ7,Smooth λ2,0.4,91,96,94.79166666666667,469.0
g-xTB,CS²-GAD,0.1,282,287,98.25783972125436,14.0
g-xTB,CS²-GAD,0.2,262,287,91.28919860627178,29.5
g-xTB,CS²-GAD,0.5,221,287,77.00348432055749,76.0
g-xTB,CS²-GAD,1.0,90,287,31.358885017421603,102.0
g-xTB,CS²-GAD,2.0,3,287,1.0452961672473868,167.0
g-xTB,Competitive GAD,0.1,264,287,91.98606271777004,14.0
g-xTB,Competitive GAD,0.2,236,287,82.22996515679442,28.0
g-xTB,Competitive GAD,0.5,204,287,71.0801393728223,76.0
g-xTB,Competitive GAD,1.0,105,287,36.58536585365854,108.0
g-xTB,Competitive GAD,2.0,8,287,2.7874564459930316,215.5
g-xTB,Regular GAD,0.1,35,287,12.195121951219512,274.0
g-xTB,Regular GAD,0.2,2,287,0.6968641114982579,282.5
g-xTB,Regular GAD,0.5,23,287,8.013937282229966,1015.0
g-xTB,Regular GAD,1.0,3,287,1.0452961672473868,1605.0
g-xTB,Regular GAD,2.0,1,287,0.34843205574912894,1889.0
g-xTB,Sella,0.1,275,287,95.81881533101046,6.0
g-xTB,Sella,0.2,261,287,90.94076655052265,15.0
g-xTB,Sella,0.5,202,287,70.38327526132404,32.0
g-xTB,Sella,1.0,87,287,30.313588850174217,45.0
g-xTB,Sella,2.0,4,287,1.3937282229965158,57.5
