surface,method,noise,progress
HIP,CS²-GAD,0.1,9.0
HIP,CS²-GAD,0.1,10.0
HIP,CS²-GAD,0.1,10.0
HIP,CS²-GAD,0.1,10.0
HIP,CS²-GAD,0.1,11.0
HIP,CS²-GAD,0.1,11.0
HIP,CS²-GAD,0.1,11.0
HIP,CS²-GAD,0.1,11.0
HIP,CS²-GAD,0.1,11.0
HIP,CS²-GAD,0.1,11.0
HIP,CS²-GAD,0.1,11.0
HIP,CS²-GAD,0.1,11.0
HIP,CS²-GAD,0.1,11.0
HIP,CS²-GAD,0.1,12.0
HIP,CS²-GAD,0.1,12.0
HIP,CS²-GAD,0.1,12.0
HIP,CS²-GAD,0.1,12.0
HIP,CS²-GAD,0.1,12.0
HIP,CS²-GAD,0.1,12.0
HIP,CS²-GAD,0.1,12.0
HIP,CS²-GAD,0.1,12.0
HIP,CS²-GAD,0.1,12.0
HIP,CS²-GAD,0.1,12.0
HIP,CS²-GAD,0.1,12.0
HIP,CS²-GAD,0.1,12.0
HIP,CS²-GAD,0.1,12.0
HIP,CS²-GAD,0.1,13.0
HIP,CS²-GAD,0.1,13.0
HIP,CS²-GAD,0.1,13.0
HIP,CS²-GAD,0.1,13.0
HIP,CS²-GAD,0.1,13.0
HIP,CS²-GAD,0.1,13.0
HIP,CS²-GAD,0.1,13.0
HIP,CS²-GAD,0.1,13.0
HIP,CS²-GAD,0.1,13.0
HIP,CS²-GAD,0.1,13.0
HIP,CS²-GAD,0.1,13.0
HIP,CS²-GAD,0.1,13.0
HIP,CS²-GAD,0.1,13.0
HIP,CS²-GAD,0.1,13.0
HIP,CS²-GAD,0.1,13.0
HIP,CS²-GAD,0.1,13.0
HIP,CS²-GAD,0.1,13.0
HIP,CS²-GAD,0.1,13.0
HIP,CS²-GAD,0.1,13.0
HIP,CS²-GAD,0.1,13.0
HIP,CS²-GAD,0.1,13.0
HIP,CS²-GAD,0.1,13.0
HIP,CS²-GAD,0.1,14.0
HIP,CS²-GAD,0.1,14.0
HIP,CS²-GAD,0.1,14.0
HIP,CS²-GAD,0.1,14.0
HIP,CS²-GAD,0.1,14.0
HIP,CS²-GAD,0.1,14.0
HIP,CS²-GAD,0.1,14.0
HIP,CS²-GAD,0.1,14.0
HIP,CS²-GAD,0.1,14.0
HIP,CS²-GAD,0.1,14.0
HIP,CS²-GAD,0.1,14.0
HIP,CS²-GAD,0.1,14.0
HIP,CS²-GAD,0.1,14.0
HIP,CS²-GAD,0.1,14.0
HIP,CS²-GAD,0.1,14.0
HIP,CS²-GAD,0.1,14.0
HIP,CS²-GAD,0.1,14.0
HIP,CS²-GAD,0.1,14.0
HIP,CS²-GAD,0.1,14.0
HIP,CS²-GAD,0.1,14.0
HIP,CS²-GAD,0.1,14.0
HIP,CS²-GAD,0.1,14.0
HIP,CS²-GAD,0.1,14.0
HIP,CS²-GAD,0.1,14.0
HIP,CS²-GAD,0.1,14.0
HIP,CS²-GAD,0.1,14.0
HIP,CS²-GAD,0.1,14.0
HIP,CS²-GAD,0.1,14.0
HIP,CS²-GAD,0.1,14.0
HIP,CS²-GAD,0.1,14.0
HIP,CS²-GAD,0.1,14.0
HIP,CS²-GAD,0.1,14.0
HIP,CS²-GAD,0.1,14.0
HIP,CS²-GAD,0.1,15.0
HIP,CS²-GAD,0.1,15.0
